,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v16//BH_Data.root,hpass,Data,Data,,,,,,
17,Signal_B1_MD4000_MBH9000_n2,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hpass,Signal_B1_MD4000_MBH9000_n2,BH signal,,1.016,,lnN,,
18,Signal_B1_MD4000_MBH9000_n2,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hpass_SVMsyst_up,Signal_B1_MD4000_MBH9000_n2,BH signal,,,1.0,shapes,Up,SVMsyst
19,Signal_B1_MD4000_MBH9000_n2,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hpass_SVMsyst_down,Signal_B1_MD4000_MBH9000_n2,BH signal,,,1.0,shapes,Down,SVMsyst
20,Signal_B1_MD4000_MBH9000_n2,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hpass,Signal_B1_MD4000_MBH9000_n2,BH signal,,,,,,
29,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v16//BH_Data.root,hfail,Data,Data,,,,,,
46,Signal_B1_MD4000_MBH9000_n2,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hfail,Signal_B1_MD4000_MBH9000_n2,BH signal,,1.016,,lnN,,
47,Signal_B1_MD4000_MBH9000_n2,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hfail_SVMsyst_up,Signal_B1_MD4000_MBH9000_n2,BH signal,,,1.0,shapes,Up,SVMsyst
48,Signal_B1_MD4000_MBH9000_n2,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hfail_SVMsyst_down,Signal_B1_MD4000_MBH9000_n2,BH signal,,,1.0,shapes,Down,SVMsyst
49,Signal_B1_MD4000_MBH9000_n2,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v16//BH_Signal_B1_MD4000_MBH9000_n2.root,hfail,Signal_B1_MD4000_MBH9000_n2,BH signal,,,,,,
