,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Data.root,hpass,Data,Data,,,,,,
1,Signal_B3_MD9000_MBH10000_n4,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hpass,Signal_B3_MD9000_MBH10000_n4,BH signal,,1.016,,lnN,,
2,Signal_B3_MD9000_MBH10000_n4,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hpass_SVMsyst_up,Signal_B3_MD9000_MBH10000_n4,BH signal,,,1.0,shapes,Up,SVMsyst
3,Signal_B3_MD9000_MBH10000_n4,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hpass_SVMsyst_down,Signal_B3_MD9000_MBH10000_n4,BH signal,,,1.0,shapes,Down,SVMsyst
4,Signal_B3_MD9000_MBH10000_n4,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hpass,Signal_B3_MD9000_MBH10000_n4,BH signal,,,,,,
5,Signal_B3_MD9000_MBH11000_n4,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hpass,Signal_B3_MD9000_MBH11000_n4,BH signal,,1.016,,lnN,,
6,Signal_B3_MD9000_MBH11000_n4,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hpass_SVMsyst_up,Signal_B3_MD9000_MBH11000_n4,BH signal,,,1.0,shapes,Up,SVMsyst
7,Signal_B3_MD9000_MBH11000_n4,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hpass_SVMsyst_down,Signal_B3_MD9000_MBH11000_n4,BH signal,,,1.0,shapes,Down,SVMsyst
8,Signal_B3_MD9000_MBH11000_n4,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hpass,Signal_B3_MD9000_MBH11000_n4,BH signal,,,,,,
9,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Data.root,hfail,Data,Data,,,,,,
10,Signal_B3_MD9000_MBH10000_n4,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hfail,Signal_B3_MD9000_MBH10000_n4,BH signal,,1.016,,lnN,,
11,Signal_B3_MD9000_MBH10000_n4,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hfail_SVMsyst_up,Signal_B3_MD9000_MBH10000_n4,BH signal,,,1.0,shapes,Up,SVMsyst
12,Signal_B3_MD9000_MBH10000_n4,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hfail_SVMsyst_down,Signal_B3_MD9000_MBH10000_n4,BH signal,,,1.0,shapes,Down,SVMsyst
13,Signal_B3_MD9000_MBH10000_n4,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH10000_n4.root,hfail,Signal_B3_MD9000_MBH10000_n4,BH signal,,,,,,
14,Signal_B3_MD9000_MBH11000_n4,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hfail,Signal_B3_MD9000_MBH11000_n4,BH signal,,1.016,,lnN,,
15,Signal_B3_MD9000_MBH11000_n4,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hfail_SVMsyst_up,Signal_B3_MD9000_MBH11000_n4,BH signal,,,1.0,shapes,Up,SVMsyst
16,Signal_B3_MD9000_MBH11000_n4,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hfail_SVMsyst_down,Signal_B3_MD9000_MBH11000_n4,BH signal,,,1.0,shapes,Down,SVMsyst
17,Signal_B3_MD9000_MBH11000_n4,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_B3_MD9000_MBH11000_n4.root,hfail,Signal_B3_MD9000_MBH11000_n4,BH signal,,,,,,
