,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Data.root,hpass,Data,Data,,,,,,
1,Signal_C3_MD2000_MBH3000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hpass,Signal_C3_MD2000_MBH3000_n6,BH signal,,1.016,,lnN,,
2,Signal_C3_MD2000_MBH3000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH3000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
3,Signal_C3_MD2000_MBH3000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH3000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
4,Signal_C3_MD2000_MBH3000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hpass,Signal_C3_MD2000_MBH3000_n6,BH signal,,,,,,
5,Signal_C3_MD2000_MBH4000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hpass,Signal_C3_MD2000_MBH4000_n6,BH signal,,1.016,,lnN,,
6,Signal_C3_MD2000_MBH4000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH4000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
7,Signal_C3_MD2000_MBH4000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH4000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
8,Signal_C3_MD2000_MBH4000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hpass,Signal_C3_MD2000_MBH4000_n6,BH signal,,,,,,
9,Signal_C3_MD2000_MBH5000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hpass,Signal_C3_MD2000_MBH5000_n6,BH signal,,1.016,,lnN,,
10,Signal_C3_MD2000_MBH5000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH5000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
11,Signal_C3_MD2000_MBH5000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH5000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
12,Signal_C3_MD2000_MBH5000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hpass,Signal_C3_MD2000_MBH5000_n6,BH signal,,,,,,
13,Signal_C3_MD2000_MBH6000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hpass,Signal_C3_MD2000_MBH6000_n6,BH signal,,1.016,,lnN,,
14,Signal_C3_MD2000_MBH6000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH6000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
15,Signal_C3_MD2000_MBH6000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH6000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
16,Signal_C3_MD2000_MBH6000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hpass,Signal_C3_MD2000_MBH6000_n6,BH signal,,,,,,
17,Signal_C3_MD2000_MBH7000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hpass,Signal_C3_MD2000_MBH7000_n6,BH signal,,1.016,,lnN,,
18,Signal_C3_MD2000_MBH7000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH7000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
19,Signal_C3_MD2000_MBH7000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH7000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
20,Signal_C3_MD2000_MBH7000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hpass,Signal_C3_MD2000_MBH7000_n6,BH signal,,,,,,
21,Signal_C3_MD2000_MBH8000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH8000_n6.root,hpass,Signal_C3_MD2000_MBH8000_n6,BH signal,,1.016,,lnN,,
22,Signal_C3_MD2000_MBH8000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH8000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH8000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
23,Signal_C3_MD2000_MBH8000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH8000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH8000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
24,Signal_C3_MD2000_MBH8000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH8000_n6.root,hpass,Signal_C3_MD2000_MBH8000_n6,BH signal,,,,,,
25,Signal_C3_MD2000_MBH9000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH9000_n6.root,hpass,Signal_C3_MD2000_MBH9000_n6,BH signal,,1.016,,lnN,,
26,Signal_C3_MD2000_MBH9000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH9000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH9000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
27,Signal_C3_MD2000_MBH9000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH9000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH9000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
28,Signal_C3_MD2000_MBH9000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH9000_n6.root,hpass,Signal_C3_MD2000_MBH9000_n6,BH signal,,,,,,
29,Signal_C3_MD2000_MBH10000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH10000_n6.root,hpass,Signal_C3_MD2000_MBH10000_n6,BH signal,,1.016,,lnN,,
30,Signal_C3_MD2000_MBH10000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH10000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH10000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
31,Signal_C3_MD2000_MBH10000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH10000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH10000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
32,Signal_C3_MD2000_MBH10000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH10000_n6.root,hpass,Signal_C3_MD2000_MBH10000_n6,BH signal,,,,,,
33,Signal_C3_MD2000_MBH11000_n6,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH11000_n6.root,hpass,Signal_C3_MD2000_MBH11000_n6,BH signal,,1.016,,lnN,,
34,Signal_C3_MD2000_MBH11000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH11000_n6.root,hpass_SVMsyst_up,Signal_C3_MD2000_MBH11000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
35,Signal_C3_MD2000_MBH11000_n6,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH11000_n6.root,hpass_SVMsyst_down,Signal_C3_MD2000_MBH11000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
36,Signal_C3_MD2000_MBH11000_n6,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH11000_n6.root,hpass,Signal_C3_MD2000_MBH11000_n6,BH signal,,,,,,
37,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Data.root,hfail,Data,Data,,,,,,
38,Signal_C3_MD2000_MBH3000_n6,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hfail,Signal_C3_MD2000_MBH3000_n6,BH signal,,1.016,,lnN,,
39,Signal_C3_MD2000_MBH3000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hfail_SVMsyst_up,Signal_C3_MD2000_MBH3000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
40,Signal_C3_MD2000_MBH3000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hfail_SVMsyst_down,Signal_C3_MD2000_MBH3000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
41,Signal_C3_MD2000_MBH3000_n6,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH3000_n6.root,hfail,Signal_C3_MD2000_MBH3000_n6,BH signal,,,,,,
42,Signal_C3_MD2000_MBH4000_n6,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hfail,Signal_C3_MD2000_MBH4000_n6,BH signal,,1.016,,lnN,,
43,Signal_C3_MD2000_MBH4000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hfail_SVMsyst_up,Signal_C3_MD2000_MBH4000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
44,Signal_C3_MD2000_MBH4000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hfail_SVMsyst_down,Signal_C3_MD2000_MBH4000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
45,Signal_C3_MD2000_MBH4000_n6,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH4000_n6.root,hfail,Signal_C3_MD2000_MBH4000_n6,BH signal,,,,,,
46,Signal_C3_MD2000_MBH5000_n6,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hfail,Signal_C3_MD2000_MBH5000_n6,BH signal,,1.016,,lnN,,
47,Signal_C3_MD2000_MBH5000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hfail_SVMsyst_up,Signal_C3_MD2000_MBH5000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
48,Signal_C3_MD2000_MBH5000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hfail_SVMsyst_down,Signal_C3_MD2000_MBH5000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
49,Signal_C3_MD2000_MBH5000_n6,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH5000_n6.root,hfail,Signal_C3_MD2000_MBH5000_n6,BH signal,,,,,,
50,Signal_C3_MD2000_MBH6000_n6,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hfail,Signal_C3_MD2000_MBH6000_n6,BH signal,,1.016,,lnN,,
51,Signal_C3_MD2000_MBH6000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hfail_SVMsyst_up,Signal_C3_MD2000_MBH6000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
52,Signal_C3_MD2000_MBH6000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hfail_SVMsyst_down,Signal_C3_MD2000_MBH6000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
53,Signal_C3_MD2000_MBH6000_n6,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH6000_n6.root,hfail,Signal_C3_MD2000_MBH6000_n6,BH signal,,,,,,
54,Signal_C3_MD2000_MBH7000_n6,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hfail,Signal_C3_MD2000_MBH7000_n6,BH signal,,1.016,,lnN,,
55,Signal_C3_MD2000_MBH7000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hfail_SVMsyst_up,Signal_C3_MD2000_MBH7000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
56,Signal_C3_MD2000_MBH7000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hfail_SVMsyst_down,Signal_C3_MD2000_MBH7000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
57,Signal_C3_MD2000_MBH7000_n6,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH7000_n6.root,hfail,Signal_C3_MD2000_MBH7000_n6,BH signal,,,,,,
58,Signal_C3_MD2000_MBH8000_n6,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH8000_n6.root,hfail,Signal_C3_MD2000_MBH8000_n6,BH signal,,1.016,,lnN,,
59,Signal_C3_MD2000_MBH8000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH8000_n6.root,hfail_SVMsyst_up,Signal_C3_MD2000_MBH8000_n6,BH signal,,,1.0,shapes,Up,SVMsyst
60,Signal_C3_MD2000_MBH8000_n6,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v18//BH_Signal_C3_MD2000_MBH8000_n6.root,hfail_SVMsyst_down,Signal_C3_MD2000_MBH8000_n6,BH signal,,,1.0,shapes,Down,SVMsyst
