,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v21//BH_Data.root,hpass,Data,Data,,,,,,
57,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass,Signal_B1_MD2000_MBH10000_n2,BH signal,,1.016,,lnN,,
58,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass_SVMsyst_up,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Up,SVMsyst
59,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass_SVMsyst_down,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Down,SVMsyst
60,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,JES,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass_JESsyst_up,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Up,JESsyst
61,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,JES,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass_JESsyst_down,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Down,JESsyst
62,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,pileup,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass_PUsyst_up,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Up,PUsyst
63,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,pileup,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass_PUsyst_down,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Down,PUsyst
64,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass,Signal_B1_MD2000_MBH10000_n2,BH signal,,,,,,
73,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v21//BH_Data.root,hfail,Data,Data,,,,,,
130,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail,Signal_B1_MD2000_MBH10000_n2,BH signal,,1.016,,lnN,,
131,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail_SVMsyst_up,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Up,SVMsyst
132,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail_SVMsyst_down,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Down,SVMsyst
133,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,JES,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail_JESsyst_up,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Up,JESsyst
134,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,JES,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail_JESsyst_down,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Down,JESsyst
135,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,pileup,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail_PUsyst_up,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Up,PUsyst
136,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,pileup,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail_PUsyst_down,Signal_B1_MD2000_MBH10000_n2,BH signal,,,1.0,shapes,Down,PUsyst
137,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail,Signal_B1_MD2000_MBH10000_n2,BH signal,,,,,,
