,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v21//BH_Data.root,hpass,Data,Data,,,,,,
1,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass,Signal_B1_MD2000_MBH3000_n2,BH signal,,1.016,,lnN,,
2,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass_SVMsyst_up,Signal_B1_MD2000_MBH3000_n2,BH signal,,,1.0,shapes,Up,SVMsyst
3,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,SVM,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass_SVMsyst_down,Signal_B1_MD2000_MBH3000_n2,BH signal,,,1.0,shapes,Down,SVMsyst
4,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,JES,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass_JESsyst_up,Signal_B1_MD2000_MBH3000_n2,BH signal,,,1.0,shapes,Up,JESsyst
5,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,JES,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass_JESsyst_down,Signal_B1_MD2000_MBH3000_n2,BH signal,,,1.0,shapes,Down,JESsyst
6,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,pileup,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass_PUsyst_up,Signal_B1_MD2000_MBH3000_n2,BH signal,,,1.0,shapes,Up,PUsyst
7,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,pileup,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass_PUsyst_down,Signal_B1_MD2000_MBH3000_n2,BH signal,,,1.0,shapes,Down,PUsyst
8,Signal_B1_MD2000_MBH3000_n2,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH3000_n2.root,hpass,Signal_B1_MD2000_MBH3000_n2,BH signal,,,,,,
9,Signal_B1_MD2000_MBH4000_n2,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v21//BH_Signal_B1_MD2000_MBH4000_n2.root,hpass,Signal_B1_MD2000_MBH4000_n2,BH signal,,1.016,,lnN,,
