Dataset name,Total events,Hadronizer fragment name,Generator,Cross Section(pb),Tag,EOS,LHE,Notes,,,NTupleFound,Ntuplepath,FlatTupleFound,FlatTuplePath
BlackHole_BH1_MD-2000_MBH-10000_n-2_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,5.69150E-05,2814f0a258949b387f502e0b5bb8414926c0569a,13215,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH10000_n2/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH10000_n2/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-10000_n-4_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,1.57425E-04,2814f0a258949b387f502e0b5bb8414926c0569a,13216,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH10000_n4/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH10000_n4/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-10000_n-6_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,2.94429E-04,2814f0a258949b387f502e0b5bb8414926c0569a,13217,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH10000_n6/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH10000_n6/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-11000_n-2_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,8.30986E-07,2814f0a258949b387f502e0b5bb8414926c0569a,13218,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH11000_n2/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH11000_n2/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-11000_n-4_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,2.31852E-06,2814f0a258949b387f502e0b5bb8414926c0569a,13220,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH11000_n4/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH11000_n4/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-11000_n-6_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,4.26347E-06,2814f0a258949b387f502e0b5bb8414926c0569a,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH11000_n6/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH11000_n6/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-3000_n-2_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,8.94228E+01,2814f0a258949b387f502e0b5bb8414926c0569a,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH3000_n2/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH3000_n2/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-3000_n-4_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,3.58112E+02,2814f0a258949b387f502e0b5bb8414926c0569a,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH3000_n4/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH3000_n4/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-3000_n-6_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,7.75721E+02,2814f0a258949b387f502e0b5bb8414926c0569a,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH3000_n6/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH3000_n6/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-4000_n-2_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,2.14740E+01,2814f0a258949b387f502e0b5bb8414926c0569a,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH4000_n2/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH4000_n2/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
BlackHole_BH1_MD-2000_MBH-4000_n-4_TuneCUETP8M1_13TeV-blackmax,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,blackmax,7.83161E+01,2814f0a258949b387f502e0b5bb8414926c0569a,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH4000_n4/BlackMaxLHArecord.lhe,,,/afs/cern.ch/user/b/belotel/work/public/BH/BH1_BM_MD2000_MBH4000_n4/BlackMaxLHArecord.lhe,YES,/eos/cms/store/group/phys_exotica/BH_RunII/BlackMax_NTuple,YES,/afs/cern.ch/user/k/kakwok/work/public/CMSSW_7_4_2/src/BlackHole/BH_MDlimit/SignalFlatTuple
