blackmax,Total events,Hadronizer fragment name,Generator,Cross Section,Datacard,LHE
BlackHole_BH2_MD2000_MBH10000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.51E-05,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH10000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH10000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH10000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.06E-04,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH10000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH10000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH10000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.75E-04,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH10000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH10000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH11000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,6.73E-07,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH11000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH11000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH11000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.55E-06,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH11000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH11000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH11000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.52E-06,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH11000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH11000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH3000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,8.11E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH3000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH3000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH3000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.52E+02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH3000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH3000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH3000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.68E+02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH3000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH3000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH4000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.88E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH4000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH4000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH4000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,5.48E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH4000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH4000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH4000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,9.87E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH4000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH4000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH5000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.11E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH5000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.14E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH5000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.01E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n6/lhouches.lhe
